date,year,month_num,month,quarter,is_festive_season,city,state,program,campaign,donor_type,channel,donation_amount,expense_amount,beneficiaries_reached,volunteer_hours,event_count,new_donors,recurring_donors,social_reach,engagement_rate,cost_per_beneficiary
2024-02-01,2024,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Online Portal,42675,29610,272,84.2,3,8,3,10384,5.88,108.87
2024-02-01,2024,2,Feb,Q1,0,Delhi,Delhi,Education Support,Back to School Drive,Community Group,Fundraising Event,64365,41273,196,76.6,2,13,4,9995,9.15,210.07
2024-02-01,2024,2,Feb,Q1,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,58617,48082,297,100.2,4,10,3,11116,8.52,161.79
2024-02-01,2024,2,Feb,Q1,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,38083,28047,235,57.4,3,7,2,9554,6.46,119.31
2024-02-01,2024,2,Feb,Q1,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,UPI,41338,33357,240,80.9,3,7,3,9061,6.88,139.19
2024-02-01,2024,2,Feb,Q1,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Alumni Network,UPI,40847,30843,276,93.9,3,7,3,10514,7.95,111.93
2024-02-01,2024,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Online Portal,87575,34184,180,61.5,2,16,7,11686,7.34,189.62
2024-02-01,2024,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,41109,38177,248,90.7,3,10,4,7991,4.61,154.24
2024-02-01,2024,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,34814,20994,195,54.1,2,7,3,8706,8.25,107.44
2024-02-01,2024,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,UPI,35332,25720,175,60.9,2,7,3,7971,9.13,147.35
2024-02-01,2024,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,54096,24474,188,58.5,2,13,5,7900,7.31,130.17
2024-02-01,2024,2,Feb,Q1,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Online Portal,44300,29064,162,58.7,1,10,3,7136,6.2,179.2
2024-02-01,2024,2,Feb,Q1,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Individual,Online Portal,33743,35647,275,98.9,3,6,2,11387,4.68,129.83
2024-02-01,2024,2,Feb,Q1,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,33694,19251,206,49.3,3,8,4,7959,4.64,93.52
2024-02-01,2024,2,Feb,Q1,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Fundraising Event,44911,25253,174,47.0,2,7,2,6604,5.26,144.81
2024-02-01,2024,2,Feb,Q1,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,49170,21335,209,65.3,2,12,6,10290,7.16,101.99
2024-02-01,2024,2,Feb,Q1,0,Patna,Bihar,Education Support,Back to School Drive,Individual,UPI,38802,28721,142,52.8,2,7,3,5749,9.54,201.96
2024-02-01,2024,2,Feb,Q1,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,59319,35264,225,84.0,3,10,4,10273,6.07,157.06
2024-02-01,2024,2,Feb,Q1,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Fundraising Event,34389,20616,160,42.1,2,6,3,7126,5.42,129.15
2024-02-01,2024,2,Feb,Q1,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Fundraising Event,42083,23782,146,42.7,1,8,3,5866,9.46,162.97
2024-02-01,2024,2,Feb,Q1,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Individual,Online Portal,27881,22429,197,60.7,2,5,2,6181,7.77,113.63
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,37248,26954,136,54.4,2,7,2,5822,4.0,198.52
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,32954,32487,238,69.3,2,7,3,9447,7.14,136.54
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Bank Transfer,27782,17029,153,46.5,2,7,2,5482,9.43,111.17
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,38209,20054,128,39.2,1,6,2,6985,3.95,157.16
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Online Portal,23119,18406,177,46.0,2,5,3,5100,8.25,103.78
2024-03-01,2024,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,108003,46086,205,70.9,2,22,9,12479,9.54,224.76
2024-03-01,2024,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,51058,45188,313,92.7,3,12,5,12707,6.3,144.51
2024-03-01,2024,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,46037,27442,264,79.7,2,8,3,10855,9.36,103.92
2024-03-01,2024,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,41788,34736,257,68.1,3,9,4,9923,5.1,135.4
2024-03-01,2024,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,43537,31460,302,88.4,4,11,4,10013,4.85,104.25
2024-03-01,2024,3,Mar,Q1,0,Delhi,Delhi,Education Support,Back to School Drive,Individual,UPI,64184,38905,211,66.3,2,13,6,11811,4.4,184.57
2024-03-01,2024,3,Mar,Q1,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,88865,45851,315,96.1,4,21,8,14939,7.57,145.62
2024-03-01,2024,3,Mar,Q1,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,41076,25441,226,74.3,3,8,4,9422,6.78,112.48
2024-03-01,2024,3,Mar,Q1,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,38460,31098,227,68.8,3,9,3,7883,9.01,136.99
2024-03-01,2024,3,Mar,Q1,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Corporate CSR,UPI,74468,28436,264,68.7,3,14,4,14618,9.23,107.75
2024-03-01,2024,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Individual,UPI,49873,37177,154,53.3,2,10,4,7791,6.21,240.89
2024-03-01,2024,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,44045,42246,269,97.7,3,8,3,11988,6.55,157.19
2024-03-01,2024,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Fundraising Event,45362,22573,219,65.7,2,9,4,8458,8.23,102.88
2024-03-01,2024,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,35415,24982,210,62.3,2,7,2,7893,9.23,119.14
2024-03-01,2024,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,33222,25280,190,57.3,2,6,2,7398,6.22,133.33
2024-03-01,2024,3,Mar,Q1,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Community Group,Online Portal,59016,29023,176,71.4,2,11,4,7961,5.37,164.84
2024-03-01,2024,3,Mar,Q1,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,68711,38853,255,82.3,3,13,4,12590,5.1,152.55
2024-03-01,2024,3,Mar,Q1,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,31696,20938,165,52.6,2,6,3,5398,8.45,127.09
2024-03-01,2024,3,Mar,Q1,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,29169,23733,159,52.0,2,7,3,5943,7.71,149.49
2024-03-01,2024,3,Mar,Q1,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Bank Transfer,47953,23029,206,63.9,2,10,3,9101,3.69,111.62
2024-03-01,2024,3,Mar,Q1,0,Patna,Bihar,Education Support,Back to School Drive,Alumni Network,Fundraising Event,45631,28065,143,59.0,2,10,4,6631,6.97,196.39
2024-03-01,2024,3,Mar,Q1,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Corporate CSR,Fundraising Event,50351,33122,250,68.0,2,9,5,11847,8.12,132.34
2024-03-01,2024,3,Mar,Q1,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Fundraising Event,39352,20148,160,41.2,2,9,4,7800,7.69,126.03
2024-03-01,2024,3,Mar,Q1,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,UPI,30597,21712,165,50.1,2,5,2,5977,8.13,131.26
2024-03-01,2024,3,Mar,Q1,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,30613,21110,204,60.1,2,7,3,8912,9.58,103.24
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,41235,25156,134,54.0,2,8,4,6439,8.78,187.31
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,57306,31592,186,59.3,2,11,5,10185,9.41,170.3
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,27740,19181,165,44.3,2,5,2,6183,7.83,116.09
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,39373,20143,166,51.0,2,7,2,7131,7.63,121.69
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Community Group,Online Portal,33050,21577,183,56.4,2,6,3,6499,7.76,117.96
2024-04-01,2024,4,Apr,Q2,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Individual,Online Portal,61923,39329,234,91.9,2,10,4,10384,4.45,168.42
2024-04-01,2024,4,Apr,Q2,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,41061,50097,310,116.1,4,9,5,12279,4.55,161.71
2024-04-01,2024,4,Apr,Q2,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Bank Transfer,50607,26144,273,84.7,3,10,3,12887,9.72,95.73
2024-04-01,2024,4,Apr,Q2,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Bank Transfer,56646,30275,255,75.2,2,11,3,9892,4.04,118.52
2024-04-01,2024,4,Apr,Q2,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,UPI,40843,32933,270,79.5,4,8,4,7903,8.37,122.2
2024-04-01,2024,4,Apr,Q2,0,Delhi,Delhi,Education Support,Back to School Drive,Community Group,Fundraising Event,63718,37100,228,83.9,3,12,5,12275,3.69,162.75
2024-04-01,2024,4,Apr,Q2,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,38749,47577,300,98.9,4,6,2,10206,7.2,158.61
2024-04-01,2024,4,Apr,Q2,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,42055,27511,249,76.0,3,9,3,8843,6.19,110.39
2024-04-01,2024,4,Apr,Q2,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,UPI,33797,29506,210,74.6,2,7,2,6462,6.05,140.57
2024-04-01,2024,4,Apr,Q2,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Community Group,Fundraising Event,48173,30236,262,78.4,3,12,4,10991,8.15,115.48
2024-04-01,2024,4,Apr,Q2,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Community Group,UPI,60980,33223,176,66.9,2,11,4,8199,8.78,188.96
2024-04-01,2024,4,Apr,Q2,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,37560,41766,292,109.6,3,7,3,7926,9.33,143.0
2024-04-01,2024,4,Apr,Q2,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Fundraising Event,34945,23215,190,61.5,2,8,3,7950,3.66,122.2
2024-04-01,2024,4,Apr,Q2,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,32779,25527,188,57.3,2,7,3,8580,7.14,135.57
2024-04-01,2024,4,Apr,Q2,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Community Group,Bank Transfer,34352,25960,225,61.0,2,7,3,7442,8.18,115.48
2024-04-01,2024,4,Apr,Q2,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Online Portal,36833,31944,165,61.6,2,8,4,5850,4.55,193.88
2024-04-01,2024,4,Apr,Q2,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Alumni Network,Bank Transfer,38672,33420,234,75.8,3,9,4,7822,6.89,143.01
2024-04-01,2024,4,Apr,Q2,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Fundraising Event,44878,18554,204,48.8,2,8,3,8873,7.88,91.0
2024-04-01,2024,4,Apr,Q2,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,UPI,26878,22516,193,68.5,2,5,2,6677,3.9,116.64
2024-04-01,2024,4,Apr,Q2,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Individual,Online Portal,28513,22254,194,54.1,2,7,3,5843,6.57,114.43
2024-04-01,2024,4,Apr,Q2,0,Patna,Bihar,Education Support,Back to School Drive,Alumni Network,Fundraising Event,39303,30104,165,54.0,2,9,3,6316,8.21,182.62
2024-04-01,2024,4,Apr,Q2,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Individual,Online Portal,31299,34112,235,80.9,2,6,3,7588,9.61,145.04
2024-04-01,2024,4,Apr,Q2,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,24816,18251,171,44.9,2,5,2,6034,3.58,106.91
2024-04-01,2024,4,Apr,Q2,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,32565,20669,181,57.6,2,6,3,7740,3.47,114.41
2024-04-01,2024,4,Apr,Q2,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Alumni Network,Bank Transfer,26994,20121,186,46.6,2,5,2,7339,6.53,108.45
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,37371,27329,154,59.3,2,6,2,7494,7.68,177.15
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,26057,32259,191,57.6,2,5,2,7904,5.4,168.66
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Bank Transfer,48399,18123,153,45.8,2,9,3,7845,7.45,118.6
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,24923,21743,162,53.1,2,5,2,5603,5.59,134.38
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,23559,18839,186,63.6,2,5,2,6446,6.76,101.37
2024-05-01,2024,5,May,Q2,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Community Group,UPI,69774,43443,236,90.4,3,16,7,11952,9.16,184.0
2024-05-01,2024,5,May,Q2,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Community Group,UPI,54118,46326,354,112.7,4,10,4,13195,5.24,130.92
2024-05-01,2024,5,May,Q2,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Online Portal,54039,28424,232,67.6,3,10,5,10094,5.96,122.26
2024-05-01,2024,5,May,Q2,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,39790,30960,211,68.3,2,8,2,9550,8.82,146.66
2024-05-01,2024,5,May,Q2,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,35760,29163,303,87.0,3,8,3,9514,3.38,96.37
2024-05-01,2024,5,May,Q2,0,Delhi,Delhi,Education Support,Back to School Drive,Individual,Fundraising Event,48615,39450,231,72.3,2,8,3,10671,4.11,170.8
2024-05-01,2024,5,May,Q2,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Individual,Online Portal,45312,48148,290,92.5,4,11,4,12289,6.82,166.05
2024-05-01,2024,5,May,Q2,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Online Portal,41883,25162,227,54.9,3,7,3,7528,9.17,110.77
2024-05-01,2024,5,May,Q2,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,61208,32175,227,65.3,3,13,5,9410,7.61,141.83
2024-05-01,2024,5,May,Q2,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,54112,29751,261,89.1,3,11,4,11346,9.67,113.88
2024-05-01,2024,5,May,Q2,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Individual,UPI,42448,32465,152,59.3,2,8,4,6297,5.53,213.37
2024-05-01,2024,5,May,Q2,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,39541,42715,285,91.8,4,9,4,12153,3.44,149.96
2024-05-01,2024,5,May,Q2,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,35403,21295,193,53.1,2,7,2,8047,5.09,110.1
2024-05-01,2024,5,May,Q2,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,39625,24250,179,53.0,2,7,3,7281,9.63,135.21
2024-05-01,2024,5,May,Q2,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,49684,23993,237,59.9,3,10,5,8611,5.14,101.36
2024-05-01,2024,5,May,Q2,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Fundraising Event,42148,31957,150,54.2,1,9,3,7998,5.53,213.18
2024-05-01,2024,5,May,Q2,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Alumni Network,Fundraising Event,37087,32950,269,92.1,3,7,3,8079,3.41,122.6
2024-05-01,2024,5,May,Q2,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Online Portal,31785,21353,165,44.9,2,6,3,7085,9.46,129.31
2024-05-01,2024,5,May,Q2,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,UPI,27759,23511,174,56.4,2,7,3,6484,5.75,135.2
2024-05-01,2024,5,May,Q2,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,50585,21807,212,64.6,2,8,3,8074,3.69,102.7
2024-05-01,2024,5,May,Q2,0,Patna,Bihar,Education Support,Back to School Drive,Individual,Online Portal,42609,31845,160,68.8,2,8,3,6853,5.18,199.1
2024-05-01,2024,5,May,Q2,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,33597,31159,233,68.2,3,6,2,8597,5.63,133.65
2024-05-01,2024,5,May,Q2,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Bank Transfer,34673,18250,155,51.3,2,7,3,7412,3.69,117.73
2024-05-01,2024,5,May,Q2,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Alumni Network,UPI,26848,21717,169,58.7,2,5,2,7549,6.06,128.63
2024-05-01,2024,5,May,Q2,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Alumni Network,UPI,30362,20717,189,49.2,2,7,4,7118,5.07,109.75
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,36295,25244,139,48.2,1,7,2,7341,4.22,181.69
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,Fundraising Event,53215,33081,220,60.2,3,10,4,10238,8.26,150.59
