date,year,month_num,month,quarter,is_festive_season,city,state,program,campaign,donor_type,channel,donation_amount,expense_amount,beneficiaries_reached,volunteer_hours,event_count,new_donors,recurring_donors,social_reach,engagement_rate,cost_per_beneficiary,donation_lag_1,beneficiaries_lag_1,donation_lag_2,beneficiaries_lag_2,donation_lag_3,beneficiaries_lag_3,donation_per_beneficiary,expense_ratio,volunteer_productivity,donation_surplus,month_sin,month_cos,high_efficiency,literacy_rate_pct,urban_population_pct,multidimensional_poverty_index,population_millions
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,37248,26954,136,54.4,2,7,2,5822,4.0,198.52,36338.0,125.0,36338.0,125.0,36338.0,125.0,273.88235294117646,0.7236361683848798,2.5,10294,0.866,0.5,0,69.3,28.4,0.126,85.4
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,41235,25156,134,54.0,2,8,4,6439,8.78,187.31,37248.0,136.0,36338.0,125.0,36338.0,125.0,307.7238805970149,0.6100642657936219,2.4814814814814814,16079,1.0,0.0,0,69.3,28.4,0.126,85.4
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,37371,27329,154,59.3,2,6,2,7494,7.68,177.15,41235.0,134.0,37248.0,136.0,36338.0,125.0,242.66883116883116,0.7312889673811244,2.596964586846543,10042,0.866,-0.5,0,69.3,28.4,0.126,85.4
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,36295,25244,139,48.2,1,7,2,7341,4.22,181.69,37371.0,154.0,41235.0,134.0,37248.0,136.0,261.1151079136691,0.6955227992836479,2.883817427385892,11051,0.5,-0.866,0,69.3,28.4,0.126,85.4
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,42002,27723,147,46.3,2,10,5,8050,3.66,188.61,36295.0,139.0,37371.0,154.0,41235.0,134.0,285.7278911564626,0.6600399980953288,3.1749460043196547,14279,0.0,-1.0,0,69.3,28.4,0.126,85.4
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Online Portal,62385,29727,131,46.0,1,11,4,8004,8.58,226.28,42002.0,147.0,36295.0,139.0,37371.0,154.0,476.22137404580155,0.47650877614811255,2.847826086956522,32658,-0.5,-0.866,0,69.3,28.4,0.126,85.4
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,71514,28131,148,48.5,2,13,6,8530,3.86,190.3,62385.0,131.0,42002.0,147.0,36295.0,139.0,483.2027027027027,0.39336353720949746,3.051546391752577,43383,-0.866,-0.5,0,69.3,28.4,0.126,85.4
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,79235,29893,152,57.1,2,20,6,10498,3.33,196.67,71514.0,148.0,62385.0,131.0,42002.0,147.0,521.2828947368421,0.37727014576891527,2.6619964973730297,49342,-1.0,-0.0,0,69.3,28.4,0.126,85.4
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,48564,29036,153,58.5,2,9,4,8091,9.78,190.18,79235.0,152.0,71514.0,148.0,62385.0,131.0,317.4117647058824,0.5978914422205749,2.6153846153846154,19528,-0.866,0.5,0,69.3,28.4,0.126,85.4
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Online Portal,39587,27779,151,54.7,2,7,3,7911,7.77,184.09,48564.0,153.0,79235.0,152.0,71514.0,148.0,262.1655629139073,0.7017202617020739,2.7605118829981716,11808,-0.5,0.866,0,69.3,28.4,0.126,85.4
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Community Group,Bank Transfer,56661,29889,130,50.9,1,10,4,7556,4.64,229.29,39587.0,151.0,48564.0,153.0,79235.0,152.0,435.8538461538462,0.5275056917456451,2.5540275049115913,26772,-0.0,1.0,0,69.3,28.4,0.126,85.4
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,46634,28924,151,59.9,1,9,4,6770,8.48,191.97,56661.0,130.0,39587.0,151.0,48564.0,153.0,308.8344370860927,0.6202341639147403,2.5208681135225377,17710,0.5,0.866,0,69.3,28.4,0.126,85.4
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,UPI,76422,25734,146,54.4,2,14,5,10441,5.94,176.84,46634.0,151.0,56661.0,130.0,39587.0,151.0,523.4383561643835,0.3367354950145246,2.683823529411765,50688,0.866,0.5,0,69.3,28.4,0.126,85.4
2025-03-01,2025,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Alumni Network,Online Portal,50624,28504,143,46.3,1,8,4,6820,5.93,199.04,76422.0,146.0,46634.0,151.0,56661.0,130.0,354.013986013986,0.5630530973451328,3.088552915766739,22120,1.0,0.0,0,69.3,28.4,0.126,85.4
2025-04-01,2025,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Online Portal,62448,24992,164,52.9,2,11,4,9120,7.56,152.57,50624.0,143.0,76422.0,146.0,46634.0,151.0,380.780487804878,0.40020497053548554,3.1001890359168245,37456,0.866,-0.5,0,69.3,28.4,0.126,85.4
2025-05-01,2025,5,May,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,UPI,38924,27959,135,50.6,1,7,3,7013,4.74,206.63,62448.0,164.0,50624.0,143.0,76422.0,146.0,288.3259259259259,0.718297194532936,2.6679841897233203,10965,0.5,-0.866,0,69.3,28.4,0.126,85.4
2025-06-01,2025,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Online Portal,47163,29528,165,54.3,1,9,4,8286,5.15,178.65,38924.0,135.0,62448.0,164.0,50624.0,143.0,285.8363636363636,0.626084006530543,3.0386740331491713,17635,0.0,-1.0,0,69.3,28.4,0.126,85.4
2025-07-01,2025,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,74930,28770,144,54.6,2,14,6,9628,6.91,199.96,47163.0,165.0,38924.0,135.0,62448.0,164.0,520.3472222222222,0.3839583611370613,2.6373626373626373,46160,-0.5,-0.866,0,69.3,28.4,0.126,85.4
2025-08-01,2025,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Alumni Network,UPI,45559,26847,149,64.1,1,11,5,6283,4.38,179.83,74930.0,144.0,47163.0,165.0,38924.0,135.0,305.76510067114094,0.5892798349393095,2.324492979719189,18712,-0.866,-0.5,0,69.3,28.4,0.126,85.4
2025-09-01,2025,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Community Group,UPI,59850,25470,136,45.7,2,11,5,8835,6.49,186.63,45559.0,149.0,74930.0,144.0,47163.0,165.0,440.0735294117647,0.4255639097744361,2.975929978118162,34380,-1.0,-0.0,0,69.3,28.4,0.126,85.4
2025-10-01,2025,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Alumni Network,Online Portal,50117,26539,157,52.8,1,11,5,7030,9.29,168.72,59850.0,136.0,45559.0,149.0,74930.0,144.0,319.21656050955414,0.5295408743540116,2.9734848484848486,23578,-0.866,0.5,0,69.3,28.4,0.126,85.4
2025-11-01,2025,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,UPI,46987,28258,141,49.7,2,8,3,7615,8.39,200.9,50117.0,157.0,59850.0,136.0,45559.0,149.0,333.2411347517731,0.6014003873411795,2.8370221327967804,18729,-0.5,0.866,0,69.3,28.4,0.126,85.4
2025-12-01,2025,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,UPI,47100,29915,152,48.0,1,8,2,6779,6.82,196.84,46987.0,141.0,50117.0,157.0,59850.0,136.0,309.86842105263156,0.6351380042462845,3.1666666666666665,17185,-0.0,1.0,0,69.3,28.4,0.126,85.4
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,32954,32487,238,69.3,2,7,3,9447,7.14,136.54,34094.0,214.0,34094.0,214.0,34094.0,214.0,138.46218487394958,0.9858287309583055,3.4343434343434347,467,0.866,0.5,0,69.3,28.4,0.126,85.4
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,57306,31592,186,59.3,2,11,5,10185,9.41,170.3,32954.0,238.0,34094.0,214.0,34094.0,214.0,308.0967741935484,0.5512860782466059,3.136593591905565,25714,1.0,0.0,0,69.3,28.4,0.126,85.4
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,26057,32259,191,57.6,2,5,2,7904,5.4,168.66,57306.0,186.0,32954.0,238.0,34094.0,214.0,136.4240837696335,1.238016655793069,3.3159722222222223,-6202,0.866,-0.5,0,69.3,28.4,0.126,85.4
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,Fundraising Event,53215,33081,220,60.2,3,10,4,10238,8.26,150.59,26057.0,191.0,57306.0,186.0,32954.0,238.0,241.88636363636363,0.621648031570046,3.654485049833887,20134,0.5,-0.866,0,69.3,28.4,0.126,85.4
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,UPI,32474,29177,199,67.4,2,5,2,8714,6.16,146.97,53215.0,220.0,26057.0,191.0,57306.0,186.0,163.1859296482412,0.8984726242532488,2.952522255192878,3297,0.0,-1.0,0,69.3,28.4,0.126,85.4
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,39427,32592,225,72.4,3,8,3,9519,7.38,145.13,32474.0,199.0,53215.0,220.0,26057.0,191.0,175.23111111111112,0.8266416415146981,3.107734806629834,6835,-0.5,-0.866,0,69.3,28.4,0.126,85.4
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Online Portal,41831,33238,216,64.1,2,9,4,9423,5.08,154.17,39427.0,225.0,32474.0,199.0,53215.0,220.0,193.66203703703704,0.7945781836437092,3.369734789391576,8593,-0.866,-0.5,0,69.3,28.4,0.126,85.4
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,39608,29289,203,70.7,2,7,3,6624,7.07,144.09,41831.0,216.0,39427.0,225.0,32474.0,199.0,195.11330049261085,0.7394718238739648,2.871287128712871,10319,-1.0,-0.0,0,69.3,28.4,0.126,85.4
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,35518,31999,236,89.3,2,8,4,9340,7.41,135.32,39608.0,203.0,41831.0,216.0,39427.0,225.0,150.5,0.9009234754209133,2.642777155655095,3519,-0.866,0.5,0,69.3,28.4,0.126,85.4
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,33694,32180,233,71.2,2,7,3,9119,4.84,138.08,35518.0,236.0,39608.0,203.0,41831.0,216.0,144.60944206008583,0.9550661838903068,3.2724719101123596,1514,-0.5,0.866,0,69.3,28.4,0.126,85.4
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,61632,32611,209,68.1,2,13,7,11420,3.46,156.23,33694.0,233.0,35518.0,236.0,39608.0,203.0,294.8899521531101,0.5291244807892004,3.0690161527165936,29021,-0.0,1.0,0,69.3,28.4,0.126,85.4
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Online Portal,45210,31315,206,77.9,2,9,4,9664,5.18,151.71,61632.0,209.0,33694.0,233.0,35518.0,236.0,219.46601941747574,0.6926564919265649,2.644415917843389,13895,0.5,0.866,0,69.3,28.4,0.126,85.4
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,37019,30927,240,67.6,2,7,3,9444,6.72,128.99,45210.0,206.0,61632.0,209.0,33694.0,233.0,154.24583333333334,0.8354358572624868,3.550295857988166,6092,0.866,0.5,0,69.3,28.4,0.126,85.4
2025-03-01,2025,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,35639,33722,253,92.5,3,8,3,9899,4.28,133.27,37019.0,240.0,45210.0,206.0,61632.0,209.0,140.86561264822134,0.9462106119700329,2.735135135135135,1917,1.0,0.0,0,69.3,28.4,0.126,85.4
2025-04-01,2025,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,36744,32010,255,69.0,3,9,4,8730,7.01,125.6,35639.0,253.0,37019.0,240.0,45210.0,206.0,144.09411764705882,0.8711626387981711,3.6956521739130435,4734,0.866,-0.5,1,69.3,28.4,0.126,85.4
2025-05-01,2025,5,May,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,32896,33563,201,67.8,2,6,2,7998,9.17,166.79,36744.0,255.0,35639.0,253.0,37019.0,240.0,163.66169154228857,1.0202760214007782,2.9646017699115044,-667,0.5,-0.866,0,69.3,28.4,0.126,85.4
2025-06-01,2025,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,47973,33838,247,75.8,3,10,3,10622,3.97,137.15,32896.0,201.0,36744.0,255.0,35639.0,253.0,194.22267206477733,0.7053550955745941,3.2585751978891824,14135,0.0,-1.0,0,69.3,28.4,0.126,85.4
2025-07-01,2025,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,37534,34230,233,78.6,3,6,2,6967,3.5,146.69,47973.0,247.0,32896.0,201.0,36744.0,255.0,161.09012875536482,0.9119731443491235,2.964376590330789,3304,-0.5,-0.866,0,69.3,28.4,0.126,85.4
2025-08-01,2025,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,44826,29312,259,78.9,3,11,3,8060,4.04,113.24,37534.0,233.0,47973.0,247.0,32896.0,201.0,173.0733590733591,0.6539062151429974,3.2826362484157157,15514,-0.866,-0.5,1,69.3,28.4,0.126,85.4
2025-09-01,2025,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,51269,29333,226,81.7,3,11,5,8770,8.54,129.96,44826.0,259.0,37534.0,233.0,47973.0,247.0,226.85398230088495,0.5721391094033431,2.7662178702570377,21936,-1.0,-0.0,0,69.3,28.4,0.126,85.4
2025-10-01,2025,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,76540,30987,249,91.2,2,14,6,13486,7.48,124.68,51269.0,226.0,44826.0,259.0,37534.0,233.0,307.38955823293173,0.4048471387509799,2.7302631578947367,45553,-0.866,0.5,1,69.3,28.4,0.126,85.4
2025-11-01,2025,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,UPI,40854,31821,230,70.5,2,9,4,9906,8.78,138.49,76540.0,249.0,51269.0,226.0,44826.0,259.0,177.62608695652173,0.778895579380232,3.2624113475177303,9033,-0.5,0.866,0,69.3,28.4,0.126,85.4
2025-12-01,2025,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,49920,32948,213,64.7,2,11,4,8412,5.08,154.86,40854.0,230.0,76540.0,249.0,51269.0,226.0,234.3661971830986,0.6600160256410257,3.292117465224111,16972,-0.0,1.0,0,69.3,28.4,0.126,85.4
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Online Portal,23119,18406,177,46.0,2,5,3,5100,8.25,103.78,28966.0,187.0,28966.0,187.0,28966.0,187.0,130.61581920903956,0.7961417016306934,3.847826086956522,4713,0.866,0.5,1,69.3,28.4,0.126,85.4
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Community Group,Online Portal,33050,21577,183,56.4,2,6,3,6499,7.76,117.96,23119.0,177.0,28966.0,187.0,28966.0,187.0,180.60109289617486,0.6528593040847201,3.24468085106383,11473,1.0,0.0,1,69.3,28.4,0.126,85.4
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,23559,18839,186,63.6,2,5,2,6446,6.76,101.37,33050.0,183.0,23119.0,177.0,28966.0,187.0,126.66129032258064,0.7996519376883569,2.9245283018867925,4720,0.866,-0.5,1,69.3,28.4,0.126,85.4
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Community Group,UPI,28267,19099,173,46.5,2,6,2,6824,4.84,110.48,23559.0,186.0,33050.0,183.0,23119.0,177.0,163.39306358381504,0.6756642020730887,3.7204301075268815,9168,0.5,-0.866,1,69.3,28.4,0.126,85.4
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,29915,18617,186,60.2,2,5,2,5517,4.56,100.04,28267.0,173.0,23559.0,186.0,33050.0,183.0,160.83333333333334,0.6223299348153101,3.089700996677741,11298,0.0,-1.0,1,69.3,28.4,0.126,85.4
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,29664,21250,187,47.1,2,6,2,6973,9.27,113.81,29915.0,186.0,28267.0,173.0,23559.0,186.0,158.63101604278074,0.716356526429342,3.970276008492569,8414,-0.5,-0.866,1,69.3,28.4,0.126,85.4
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Community Group,Online Portal,35152,21198,186,62.9,2,9,3,6691,3.46,113.82,29664.0,187.0,29915.0,186.0,28267.0,173.0,188.98924731182797,0.6030382339553937,2.957074721780604,13954,-0.866,-0.5,1,69.3,28.4,0.126,85.4
